"";"X";"tile";"xrange1";"xrange2";"yrange1";"yrange2";"istruzione";"salute";"trasporti";"qualifica";"servizi"
"41";41;"Tile row 4, col 11";1509384,26907392;1510002,53450591;5040318,09229281;5040870,63440849;0,333333333333333;0;0,0952380952380952;0,666666666666667;0,0478468899521531
"42";42;"Tile row 4, col 12";1510002,53450591;1510620,79995645;5040318,09229281;5040870,63440849;1;0,411764705882353;0,19047619047619;1;0,100478468899522
"43";43;"Tile row 4, col 13";1510620,79995645;1511239,06538844;5040318,09229281;5040870,63440849;0,666666666666667;0,411764705882353;0,571428571428571;1;0,349282296650718
"44";44;"Tile row 4, col 14";1511239,06538844;1511857,33082043;5040318,09229281;5040870,63440849;0,333333333333333;0;0,171428571428571;0,666666666666667;0
"45";45;"Tile row 4, col 15";1511857,33082043;1512475,59625243;5040318,09229281;5040870,63440849;0,666666666666667;0,411764705882353;0,238095238095238;1;0,100478468899522
"46";46;"Tile row 4, col 16";1512475,59625243;1513093,86168442;5040318,09229281;5040870,63440849;0;0;0,0761904761904762;1;0,0287081339712919
"47";47;"Tile row 4, col 17";1513093,86168442;1513712,12711641;5040318,09229281;5040870,63440849;1;0,411764705882353;0,19047619047619;1;0,507177033492823
"48";48;"Tile row 4, col 18";1513712,12711641;1514330,3925484;5040318,09229281;5040870,63440849;0,666666666666667;0;0;0,666666666666667;0,0574162679425837
"49";49;"Tile row 4, col 19";1514330,3925484;1514948,65799894;5040318,09229281;5040870,63440849;0,666666666666667;0;0,285714285714286;0,666666666666667;0,114832535885167
"50";50;"Tile row 4, col 20";1514948,65799894;1515566,92343093;5040318,09229281;5040870,63440849;0,333333333333333;0,411764705882353;0,380952380952381;0,666666666666667;0,287081339712919
"51";51;"Tile row 4, col 21";1515566,92343093;1516185,18886292;5040318,09229281;5040870,63440849;0,666666666666667;0,411764705882353;0,476190476190476;0,666666666666667;0,133971291866029
"52";52;"Tile row 4, col 22";1516185,18886292;1516803,45431346;5040318,09229281;5040870,63440849;0,333333333333333;0;0,380952380952381;1;0,114832535885167
"53";53;"Tile row 4, col 23";1516803,45431346;1517421,71974545;5040318,09229281;5040870,63440849;0;0;0,285714285714286;1;0,0334928229665072
"54";54;"Tile row 4, col 24";1517421,71974545;1518039,98519599;5040318,09229281;5040870,63440849;1;1;0,238095238095238;1;0,296650717703349
"55";55;"Tile row 4, col 25";1518039,98519599;1518658,25062798;5040318,09229281;5040870,63440849;0,333333333333333;0;0,0952380952380952;1;0
"56";56;"Tile row 4, col 26";1518658,25062798;1519276,51605997;5040318,09229281;5040688,19591962;0;0,411764705882353;0,285714285714286;0,666666666666667;0,0669856459330143
"57";57;"Tile row 4, col 27";1519276,51605997;1519894,78151051;5040318,09229281;5040809,0933982;0;0,294117647058824;0;0,666666666666667;0,0382775119617225
"58";58;"Tile row 4, col 28";1519894,78151051;1520513,0469425;5040318,09229281;5040817,74591172;0;0;0;1;0
"59";59;"Tile row 4, col 29";1520513,0469425;1521015,69789371;5040318,09229281;5040465,24882763;0;0;0;1;0
"60";60;"Tile row 5, col 7";1507440,16926917;1507529,4727594;5039955,58012473;5040318,09229281;0;0;0;1;0
"61";61;"Tile row 5, col 8";1507529,4727594;1508147,73819139;5039765,55017712;5040318,09229281;0;0;0;1;0
"62";62;"Tile row 5, col 9";1508147,73819139;1508766,00364193;5039765,55017712;5040318,09229281;0;0;0;1;0
"63";63;"Tile row 5, col 10";1508766,00364193;1509384,26907392;5039765,55017712;5040318,09229281;0;0;0;0,666666666666667;0
"64";64;"Tile row 5, col 11";1509384,26907392;1510002,53450591;5039765,55017712;5040318,09229281;0,333333333333333;0;0,142857142857143;0,666666666666667;0,119617224880383
"65";65;"Tile row 5, col 12";1510002,53450591;1510620,79995645;5039765,55017712;5040318,09229281;1;0,411764705882353;0,285714285714286;1;0,263157894736842
"66";66;"Tile row 5, col 13";1510620,79995645;1511239,06538844;5039765,55017712;5040318,09229281;0,333333333333333;0,411764705882353;0,19047619047619;1;0,406698564593301
"67";67;"Tile row 5, col 14";1511239,06538844;1511857,33082043;5039765,55017712;5040318,09229281;1;0,411764705882353;0,380952380952381;1;0,0717703349282297
"68";68;"Tile row 5, col 15";1511857,33082043;1512475,59625243;5039765,55017712;5040318,09229281;0,333333333333333;0;0,0952380952380952;0,333333333333333;0,100478468899522
